country,attack,defense,quality_metric
Abkhazia,0.6385131113045418,-0.032573397196148934,0.6710865085006907
Afghanistan,-0.007473500498211494,0.9574579592619309,-0.9649314597601424
Åland Islands,0.4225224018984366,0.902560068156078,-0.48003766625764144
Albania,0.7868036170913284,-0.0233825543893994,0.8101861714807278
Alderney,-0.34938756592854625,1.492048673150983,-1.8414362390795294
Algeria,1.0797575389937095,0.04651928320668819,1.0332382557870212
American Samoa,-0.8560657065945967,2.3113508824557787,-3.1674165890503754
Andalusia,1.2100703784893385,0.13135952090195513,1.0787108575873834
Andorra,-0.24582394453101009,0.4092414699202782,-0.6550654144512883
Angola,0.6870465403996725,0.11767142550725818,0.5693751148924143
Anguilla,-0.76558952734799,1.7334951121511193,-2.4990846394991095
Antigua and Barbuda,0.27982095198271,0.9310667142867555,-0.6512457623040455
Arameans Suryoye,0.6913718076451748,0.2844943601859293,0.40687744745924553
Argentina,1.6528499166145567,-0.4340697204423336,2.0869196370568903
Armenia,0.844237674634311,0.20371337524196886,0.6405242993923421
Artsakh,0.7993883170949968,0.5705992766391066,0.2287890404558902
Aruba,-0.009787120660440629,1.2234164440625537,-1.2332035647229942
Australia,1.2226399637488927,-0.08855890505226138,1.3111988688011542
Austria,1.3407051426531362,-0.0649151601462633,1.4056203027993996
Aymara,0.42597313050168095,0.6398200669900982,-0.21384693648841724
Azerbaijan,0.471005675523995,0.12170306205993153,0.3493026134640635
Bahamas,-0.43943138874011667,1.5349622946911838,-1.9743936834313005
Bahrain,0.7036541675025908,0.28457038096395304,0.41908378653863776
Bangladesh,-0.27237412776900316,0.9649499544483495,-1.2373240822173526
Barawa,0.06569677687692188,1.498590977878906,-1.432894201001984
Barbados,0.26699668801561205,0.732696740696235,-0.465700052680623
Basque Country,1.5933885523243148,0.13916012631431807,1.4542284260099967
Belarus,1.0151388849786518,0.015516943842624698,0.9996219411360271
Belgium,1.461896404021001,-0.21702279788887147,1.6789192019098724
Belize,0.2156670399098981,0.6714501512084765,-0.4557831112985784
Benin,0.6271188021708102,0.459337088959061,0.16778171321174917
Bermuda,0.5259522024929015,0.7296020851565236,-0.20364988266362205
Bhutan,-0.6352442622037175,1.7422744991568255,-2.377518761360543
Biafra,0.06959357898665286,0.38962117208287267,-0.3200275930962198
Bolivia,1.0807313674108994,-0.027479130981584166,1.1082104983924834
Bonaire,0.14630767758490743,1.6033520680244377,-1.4570443904395303
Bosnia and Herzegovina,1.1716936033990772,0.024912549650118132,1.1467810537489591
Botswana,0.2343044688202413,0.3412837600686909,-0.10697929124844957
Brazil,1.8049401812175472,-0.5281478849573622,2.333088066174909
British Virgin Islands,-0.6242354525960281,1.6465184890943276,-2.270753941690356
Brittany,0.6212623984515694,0.4708291902610333,0.15043320819053607
Brunei,-0.435474869847154,1.565629383890528,-2.001104253737682
Brunei Darussalam,0.002735476858950814,0.9731196621744644,-0.9703841853155136
Bulgaria,1.279746698530226,-0.13832928026421454,1.4180759787944406
Burkina Faso,0.7817272685863177,0.25267902473435144,0.5290482438519662
Burundi,0.4407710982389992,0.32298601948509786,0.11778507875390132
Cambodia,-0.08354313406953606,1.2930485203367788,-1.3765916544063148
Cameroon,0.9594642694788982,-0.06035160470116385,1.019815874180062
Canada,0.9095295260010053,0.06399358257455667,0.8455359434264487
Canary Islands,1.3155981941214698,0.35704425957802255,0.9585539345434473
Cape Verde,0.6307826359806947,0.22766946266382837,0.40311317331686636
Cascadia,0.8359249023591524,0.9857019142250342,-0.14977701186588177
Catalonia,1.4178104897535875,-0.11080520798822024,1.5286156977418077
Cayman Islands,-0.14644438357706735,1.209806296635748,-1.3562506802128151
Central African Republic,0.5674668693365228,0.5559242468115174,0.011542622525005375
Chad,0.45370854595280913,0.4669529177814214,-0.013244371828612267
Chagos Islands,0.3761205668732122,1.6258866368796192,-1.249766070006407
Chameria,0.944092678282801,0.10182985101217895,0.8422628272706221
Chile,1.3955249281023143,-0.2447434927444586,1.6402684208467728
China PR,0.9482941394083897,0.16517908994725455,0.7831150494611352
Colombia,1.2774001114334763,-0.4564017684170749,1.7338018798505512
Comoros,0.19336732176193228,0.5075007230545687,-0.31413340129263645
Congo,0.7313802376558293,0.3033677487381256,0.42801248891770366
Cook Islands,-0.7841791025434606,2.0148685209512083,-2.799047623494669
Corsica,0.5233045197632271,-0.16054177217905963,0.6838462919422867
Costa Rica,1.089821643818309,-0.044096823252870676,1.1339184670711797
County of Nice,1.0743894829036096,0.6461521581738155,0.42823732472979403
Crimea,0.5171823958289061,0.9828769694788589,-0.4656945736499528
Croatia,1.4699187474032918,-0.24723877747072254,1.7171575248740143
Cuba,0.6556737279232329,0.3660991079058612,0.28957462001737166
Curaçao,0.37249427239246435,0.648355167939017,-0.2758608955465527
Cyprus,0.7430109573310146,0.2447643901128846,0.49824656721813004
Czech Republic,1.4715178482872093,-0.17650658960294963,1.648024437890159
Czechoslovakia,1.481315925638218,-0.4224926972050872,1.903808622843305
Darfur,-0.503879411210433,2.3313244796006956,-2.835203890811129
Denmark,1.4121159680536501,-0.25084077107741964,1.6629567391310698
Djibouti,0.05533216888878889,1.2825507189572791,-1.2272185500684902
Dominica,-0.01314812369474383,0.9357599877677552,-0.948908111462499
Dominican Republic,0.2661705578371634,0.9470873044533535,-0.6809167466161901
DR Congo,0.9649870853666837,0.21932645021868347,0.7456606351480002
Ecuador,1.2725034665794532,-0.19883671894401345,1.4713401855234667
Egypt,1.1287948984813991,-0.007834563314911835,1.136629461796311
El Salvador,0.6874284961761657,0.17619761105931447,0.5112308851168512
Ellan Vannin,0.7897516739481172,0.38428258530576553,0.40546908864235165
England,1.5759022780780134,-0.5364877930179472,2.1123900710959607
Equatorial Guinea,0.3809985582838279,0.4738414779432319,-0.092842919659404
Eritrea,0.08634642742511955,0.6075456866216761,-0.5211992591965565
Estonia,0.6082761388674042,0.22187549589095795,0.3864006429764462
Eswatini,0.25252525083629584,0.6420691885431073,-0.3895439377068115
Ethiopia,0.5507510534754032,0.5106521411538522,0.04009891232155105
Falkland Islands,-0.33608615552896637,1.5151609879575831,-1.8512471434865496
Faroe Islands,0.5435391143263903,0.46121160664399985,0.0823275076823905
Felvidék,0.3849294725341181,0.5140164736045191,-0.129087001070401
Fiji,0.5158451024090768,0.7983051258176694,-0.28246002340859266
Finland,1.0103870821643177,-0.04069912057029368,1.0510862027346115
France,1.5801638177724224,-0.4493155133477891,2.0294793311202115
French Guiana,0.4351814260082659,0.6927664968721956,-0.2575850708639297
Frøya,0.1839910052489257,1.5912457930832349,-1.4072547878343091
Gabon,0.7003877716804481,0.1560895713874778,0.5442982002929703
Găgăuzia,0.14770012093539153,1.0838962368640175,-0.936196115928626
Galicia,1.178762715352019,0.3638768626249531,0.8148858527270659
Gambia,0.4894983330667506,0.29016591776386536,0.19933241530288526
Georgia,0.9937175581788512,0.043047677259038686,0.9506698809198125
German DR,1.5065474307913238,-0.29559574108200115,1.802143171873325
Germany,1.7707433705457214,-0.24694485590562065,2.017688226451342
Ghana,1.0021938538895614,0.0028844814831551213,0.9993093724064063
Gibraltar,0.3617662941753967,0.7155144777684697,-0.353748183593073
Gotland,0.6350310797448728,1.0826926877121283,-0.4476616079672555
Gozo,0.3338304559853358,1.04526204973199,-0.7114315937466542
